commit_sha,tag_name,body,author_id,author_name,created_at,published_at,id,title,target_commitish,draft,prerelease
b4617d0b9670ad14039b2739167fd35a60f557c5,v1.8.1,"## What's Changed
* build: CircleCI 2.1 + build matrix by @elithrar in https://github.com/gorilla/mux/pull/595
* Include ""404"" and ""405"" in the docs by @Jille in https://github.com/gorilla/mux/pull/602
* docs: update README w.r.t new maintainer ask by @elithrar in https://github.com/gorilla/mux/pull/660
* regexp: use iota instead of hardcoded values for regexType* by @michaelgrigoryan25 in https://github.com/gorilla/mux/pull/679
* Fix `authenticationMiddleware` initialization in the `README.md` file by @amustaque97 in https://github.com/gorilla/mux/pull/693
* Update README.md by @coreydaley in https://github.com/gorilla/mux/pull/713
* [GPT-95] Update go version, add tools for verification and testing by @apoorvajagtap in https://github.com/gorilla/mux/pull/718
* Delete release-drafter.yml by @coreydaley in https://github.com/gorilla/mux/pull/719
* Delete stale.yml by @coreydaley in https://github.com/gorilla/mux/pull/720
* Delete AUTHORS by @coreydaley in https://github.com/gorilla/mux/pull/721
* Update LICENSE by @coreydaley in https://github.com/gorilla/mux/pull/722
* Updated the logo in README.md by @shamkarthik in https://github.com/gorilla/mux/pull/724
* Update LICENSE by @coreydaley in https://github.com/gorilla/mux/pull/723
* Update issues.yml by @coreydaley in https://github.com/gorilla/mux/pull/726
* Update issues.yml by @coreydaley in https://github.com/gorilla/mux/pull/727
* run go fmt with Go 1.20 by @shogo82148 in https://github.com/gorilla/mux/pull/725
* Fix  `Single Page Application` example in `README.md` file by @amustaque97 in https://github.com/gorilla/mux/pull/678
* [BUG] Inconsistent HTTP status code on query mismatch by @soheilrt in https://github.com/gorilla/mux/pull/712
* Clarify documentation examples of Route methods by @andrew-werdna in https://github.com/gorilla/mux/pull/672
* changed the routeVariables text content. by @sumanpaikdev in https://github.com/gorilla/mux/pull/708
* Add GetVarNames() by @eh-steve in https://github.com/gorilla/mux/pull/676
* fix SPA handler in README.md by @sy9 in https://github.com/gorilla/mux/pull/733
* update GitHub workflows by @coreydaley in https://github.com/gorilla/mux/pull/734

## New Contributors
* @Jille made their first contribution in https://github.com/gorilla/mux/pull/602
* @michaelgrigoryan25 made their first contribution in https://github.com/gorilla/mux/pull/679
* @amustaque97 made their first contribution in https://github.com/gorilla/mux/pull/693
* @coreydaley made their first contribution in https://github.com/gorilla/mux/pull/713
* @apoorvajagtap made their first contribution in https://github.com/gorilla/mux/pull/718
* @shamkarthik made their first contribution in https://github.com/gorilla/mux/pull/724
* @shogo82148 made their first contribution in https://github.com/gorilla/mux/pull/725
* @soheilrt made their first contribution in https://github.com/gorilla/mux/pull/712
* @andrew-werdna made their first contribution in https://github.com/gorilla/mux/pull/672
* @sumanpaikdev made their first contribution in https://github.com/gorilla/mux/pull/708
* @eh-steve made their first contribution in https://github.com/gorilla/mux/pull/676
* @sy9 made their first contribution in https://github.com/gorilla/mux/pull/733

**Full Changelog**: https://github.com/gorilla/mux/compare/v1.8.0...v1.8.1",5060301,Corey Daley,2023-10-18 11:23:00+00:00,2023-11-05 02:14:50+00:00,128010942,Release v1.8.1,main,False,False
98cb6bf42e086f6af920b965c38cacc07402d51b,v1.8.0,"v1.8.0 addresses a minor regression with the variable extraction when using a wildcard host match. Specifying `.Host(“foo.example.com:{port:.*})` will now correctly capture the port into `mux.Vars`.

## CHANGELOG

* fix: regression in vars extract for wildcard host (#579) @harshavardhana
* Remove stale text from comment. (#568) @EricIO
",40829082,,2020-07-11 20:05:21+00:00,2020-08-22 20:49:33+00:00,26595934,v1.8.0 ☀️,master,False,False
75dcda0896e109a2a22c9315bca3bb21b87b2ba5,v1.7.4,"v1.7.4 addresses a number of performance improvements (#544), bugs (#509, #535), and documentation improvements.

## CHANGELOG

* Reduce allocations in (*routeRegexp).getURLQuery (#544) @klauspost
* Fixed golint warnings (#526) @KosToZyB
* fix headers regexp test case (#536) @icattlecoder
* Fix the CORSMethodMiddleware bug with subrouters (#535) @fharding1
* Remove/cleanup request context helpers (#525) @fharding1
* Guess the scheme if r.URL.Scheme is unset (#474) @euank
* Added capacity to slice creation, when capacity is known (#516) @vivekv96
* Modified http status codes, using constants provided by the http package (#514) @vivekv96
* bugfix/subrouter custom methodNotAllowed handler returning 404 (#509) (#510) @jonasdebeukelaer
* Update README (self-host logo) (#513) @elithrar
* Remove TravisCI badge (#503) @elithrar
* Add documentation for using mux to serve a SPA (#493) @fharding1
* Simplify code (#501) @muesli
* Avoid unnecessary conversion (#502) @muesli
* Update config.yml (#495) @elithrar
",40829082,,2020-01-12 19:17:43+00:00,2020-02-12 02:14:42+00:00,18342502,v1.7.4,master,False,False
00bdffe0f3c77e27d2cf6f5c70232a2d3e4d9c15,v1.7.3,"This is a patch release that mostly incorporates test & build system updates, as well as fixing a rare cause of panics.

## CHANGELOG

* Update stale.yml (#494) @elithrar
* Improve CORS Method Middleware (#477) @fharding1
* Delete ISSUE_TEMPLATE.md (#492) @elithrar
* Use subtests for middleware tests (#478) @fharding1
* Delete .travis.yml (#490) @elithrar
* Fix nil panic in authentication middleware example (#489) @fharding1
* [WIP] Create CircleCI config (#484) @elithrar
",40829082,,2019-06-30 04:17:52+00:00,2019-06-30 04:20:35+00:00,18186567,v1.7.3,master,False,False
ed099d42384823742bba0bf9a72b53b55c9e2e38,v1.7.2,"⚠️ This release relaxes the host:port matching when using [`*Route.Host()`](https://godoc.org/github.com/gorilla/mux#Route.Host) as introduced in [v1.7.0](https://github.com/gorilla/mux/releases/tag/v1.7.0). If a port is _not_ provided, the route will match on any port, matching behaviour for all versions of mux prior to v1.7.0.

See #447 for a fuller discussion.

## CHANGELOG

* Route.Host -matching will ignore any provided port from getHost(), if… (#447) @cognusion
",40829082,,2019-05-17 00:20:44+00:00,2019-05-17 00:28:11+00:00,17410844,v1.7.2,master,False,False
c5c6c98bc25355028a63748a498942a6398ccd22,v1.7.1,"No notable changes 🎆 

## CHANGELOG

* Minor spelling mistake  (#454) @souvikhaldar
* fix go1.12 go vet usage (#458) @seriousben
* adding Router.Name to create new Route (#457) @seriousben
* Remove sudo setting from travis.yml (#462) @sekky0905
",40829082,,2019-03-16 13:32:43+00:00,2019-04-05 02:14:36+00:00,15607156,v1.7.1,master,False,False
a7962380ca08b5a188038c69871b8d3fbdf31e89,v1.7.0,"## Notable changes:

* mux will only support Go 1.7 and newer: this has allowed us to remove the older `gorilla/context` code. Go 1.7 has been out since August 2016.
* [`*Route.Host()`](https://godoc.org/github.com/gorilla/mux#Route.Host) matching now includes the `host:port`, as opposed to just the `host`.
* Subrouters should correctly return a 405 if the route matches but the method does not (see #437 for details)

## CHANGELOG

* [deps] Add go.mod for versioned Go (#376) @elithrar
* Initialize user map (#371) @kalafut
* Update LICENSE & AUTHORS files. (#386) @elithrar
* Add 1.11 to build in travis (#398) @yershalom
* Drop support for Go < 1.7: remove gorilla/context (#391) @fharding1
* Create release-drafter.yml (#399) @elithrar
* Always run on the latest stable Go version. (#402) @elithrar
* Use constant for 301 status code in regexp.go (#412) @trungnn
* Use subtests in mux_test.go (#415) @kanozec
* Add stalebot config (#424) @elithrar
* Update and rename stale to stale.yml (#425) @elithrar
* remove redundant code that remove support gorilla/context (#427) @alimy
* Replace domain.com with example.com (#434) @raeesbhatti
* fix #2, return full host:port info from getHost (#383) @santsai
* Ignore ErrNotFound while matching Subrouters (#438) @g-w
* Call WriteHeader after setting other header(s) in the example (#442) @timucingelici
* replace rr.HeaderMap by rr.Header() (#443) @moeryomenko
",40829082,,2019-01-25 16:05:53+00:00,2019-01-27 19:47:41+00:00,12694450,🦍 v1.7.0,master,False,False
e3702bed27f0d39777b0b37b664b6280e8ef8fbf,v1.6.2,"Adds the [`CORSMethodMiddleware`](https://godoc.org/github.com/gorilla/mux#CORSMethodMiddleware) middleware, which allows package users to automatically generate a `Access-Control-Allow-Methods` HTTP response header based on which methods are configured for a given route. This is useful when dealing with cross-origin requests, and can be easily enabled via `router.Use(mux.CORSMethodMiddleware)`.

This release otherwise includes documentation fixes and improvements. We are always looking to improve the documentation for mux, and contributions are welcome!

CHANGELOG
e3702be [docs] Improve docstrings for middleware, skipclean (#375)
fdeb7bc [docs] Doc fix for testing variables in path (#374)
5e55a4a Add CORSMethodMiddleware (#366)
ded0c29 Fix linter issues (docs) (#370)
b57cb16 [build] Update Go versions; add 1.10.x (#364)
94231ff Fix table-driven example documentation (#363)
4dbd923 Make Use() variadic (#355)
07ba1fd Modify http status code to variable in README (#350)
d284fd8 Modify 403 status code to const variable (#349)
",18544,Matt Silverlock,2018-05-13 03:22:33+00:00,2018-05-13 03:28:55+00:00,10973680,v1.6.2 ⚡️,master,False,False
53c1911da2b537f792e7cafcb446b05ffe33b996,v1.6.1,"gorilla/mux now provides first-class support for ""middleware"" thanks to @roobre! Middleware are handlers that can intercept request & response processing *after a route match*, but before/after other handlers are invoked. See the documentation for the full details: https://github.com/gorilla/mux#middleware

Previously, developers would have to use a thin wrapper to achieve this per-application. Requests for this functionality built up enough over time such that we've added it to mux's built-in methods.

CHANGELOG: 

53c1911 [feat] Add middleware support as discussed in #293 (#294)
5bbbb5b [docs] Add graceful shutdown example (#329)
512169e refactor routeRegexp, particularily newRouteRegexp. (#328)
5ab525f Public test API to set URL params (#322)
7904d2e [docs] Add example usage for Route.HeadersRegexp (#320)
c572efe [docs] Note StrictSlash re-direct behaviour #308 (#321)
65ec724 Create ISSUE_TEMPLATE.md (#318)
4a3d4f3 [bugfix] Fix method subrouter handler matching (#300) (#317)
2d5fef0 [docs] fix outdated UseEncodedPath method docs (#314)
",18544,Matt Silverlock,2018-01-16 17:23:47+00:00,2018-01-16 17:30:04+00:00,9256959,First Class Middleware Support,master,False,False
7f08801859139f86dfafd1c296e2cba9a80d292e,v1.6.0,"v1.6.0 major changes:

* `RouteMatch.MatchErr` is now set to `ErrNotFound` when the route does not match.
* Go 1.5.x and below are no longer supported
* New methods for fetching the query template have been added in [`Route.GetQueriesRegexp`](https://godoc.org/github.com/gorilla/mux#Route.GetQueriesRegexp) and [`Route.GetQueriesTemplates`](https://godoc.org/github.com/gorilla/mux#Route.GetQueriesTemplates)
* Bug fixes and documentation updates, detailed below.

CHANGELOG
7f08801 MatchErr is set to ErrNotFound if NotFoundHandler is used (#311)
9f48112 [docs] Document router.Match (#313)
bc452d9 [build] Allow tip failures (#312)
7625a85 .travis.yml: Remove versions < go1.5 from build matrix
c9183aa use req.URL.EscapedPath() instead of getPath(req) (#306)
10490f5 GetQueryTemplates and GetQueryRegexp extraction (#304)
9bd9ff2 Added 1.9 build step (#303)
bdd5a5a Fix WriteHeader in TestA301ResponseWriter. (#301)
3f19343 [docs] Document evaluation order for routes (#297)
",18544,Matt Silverlock,2017-11-05 17:23:20+00:00,2017-11-07 03:50:40+00:00,8409933,v1.6.0,master,False,False
